,No. Pesanan,Status Pesanan,Nama Produk,Nama Variasi,Harga Setelah Diskon,Jumlah,Potongan Koin Shopee,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Username (Pembeli),Kota/Kabupaten,Waktu Pembayaran,Pesanan Dibuat
4546,,,Sensory Rice 200 gram,Red,Rp 12.000,1,,,,,,,
4547,,,Sensory Rice 200 gram,Blue,Rp 12.000,1,,,,,,,
4548,,,Sensory Rice 200 gram,Green,Rp 12.000,1,,,,,,,
4549,,,Sensory Rice 200 gram,Yellow,Rp 12.000,1,,,,,,,
4550,20072351GXF2CC,Selesai,Cat lukis,"Pink,20ml",Rp 5.500,1,839.0,Rp 0,Rp 68.061,cia09,KOTA BEKASI,2020-07-23 10:17,2020-07-23 10:17
4551,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4552,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4553,,,Kanvas lukis,,Rp 16.000,2,,,,,,,
4554,,,Sponge brush,Flower,Rp 20.000,1,,,,,,,
4555,200723562KWJ0D,Selesai,Sort the,Pompom - ulat,Rp 70.500,1,0.0,Rp 0,Rp 70.500,saradhelviana,KOTA TANGERANG,2020-07-23 11:38,2020-07-23 11:38
4556,2007235CX0TQQS,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,8324.0,Rp 0,Rp 95.976,_luckygirl,KOTA JAKARTA TIMUR,2020-07-23 13:41,2020-07-23 13:41
4557,,,Cat lukis,"Orange,20ml",Rp 5.800,1,,,,,,,
4558,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4559,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4560,,,Cat lukis,"Hitam,20ml",Rp 5.600,1,,,,,,,
4561,,,Cat lukis,"Coklat,20ml",Rp 5.600,1,,,,,,,
4562,,,Kanvas lukis,,Rp 16.000,2,,,,,,,
4563,,,Sponge brush,Roller,Rp 38.000,1,,,,,,,
4564,2007235GQMT1RD,Selesai,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,10,0.0,Rp 12.000,Rp 142.000,irzha_pratama18,KAB. GOWA,2020-07-23 14:52,2020-07-23 14:49
4565,2007235HUAFAXW,Selesai,Cat lukis,"Orange,20ml",Rp 5.800,1,0.0,Rp 15.000,Rp 60.400,tyassita,KOTA JAKARTA BARAT,2020-07-23 15:11,2020-07-23 15:09
4566,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4567,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4568,,,Kanvas lukis,,Rp 16.000,1,,,,,,,
4569,,,Kanvas lukis,,Rp 12.200,1,,,,,,,
4570,20072369EYK9SJ,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 0,Rp 62.800,helloanggi,KOTA JAKARTA SELATAN,2020-07-23 22:12,2020-07-23 22:12
4571,,,Cat lukis,"Orange,20ml",Rp 5.800,1,,,,,,,
